,Order,Family,Genus,Species,CommonName,TypeLocality
5416,rodentia,muridae,chiropodomys,gliroides,Indomalayan Pencil-tailed Tree Mouse,"NW India (Assam), Khasi Hills, Cherrapunji."
5418,rodentia,muridae,chiropodomys,major,Greater Pencil-tailed Tree Mouse,"Malaysia (Borneo), Sarawak, Sadong."
5419,rodentia,muridae,chiropodomys,muroides,Gray-bellied Pencil-tailed Tree Mouse,"Malaysia (Borneo), Sabah, Gunung Kinabalu, Bundu Tuhan, 4000 ft (1220 m)."
5420,rodentia,muridae,chiropodomys,pusillus,Lesser Pencil-tailed Tree Mouse,"Malaysia (Borneo), Sabah, Gunung Kinabalu, 1000 ft (305 m)."
5436,rodentia,muridae,conilurus,albipes,White-footed Conilurus,SE Australia (Neuholland); see Mahoney and Richardson (1988:155).
5516,rodentia,muridae,hybomys,trivirgatus,West African Hybomys,"Ghana (= Gold Coast), Dabocrom."
5546,rodentia,muridae,lemniscomys,barbarus,Barbary Lemniscomys,"Morocco (= ""Barbaria,"" see discussion in Carleton and Van der Straeten, 1997)."
5550,rodentia,muridae,lemniscomys,linulus,Senegal Lemniscomys,"Senegal (= French Gambia), Gamon."
5572,rodentia,muridae,leptomys,elegans,Elegant Leptomys,"Papua New Guinea (= ""British New Guinea""), Central Province, Astrolabe Range behind Port Moresby. The specimen was collected by Dr. Lamberto Loria between 1890 and 1893 and Tate (1951:223) claimed that ""Loria collected in the Astrolabe Range behind Port Moresby,"" but Laurie and Hill, 1954:132 noted that no exact locality was published. Thomas (1897<i>a</i>:4), however wrote that Lorias localities ""are mostly between the Owen Stanley Range and the sea, in or near the watershed of the Kemp Welch river,"" an area that would include the Astrolabe Range and adjacent Sogeri Plateau."
5587,rodentia,muridae,malacomys,edwardsi,Edwards Malacomys,"Liberia Mellacoree River (= Melikhoure River, Guinea according to Rautenbach and Schlitter, 1978:410)."
5729,rodentia,muridae,myomyscus,brockmani,Brockmans Myomyscus,"Somalia (British Somaliland), Upper Sheikh."
5734,rodentia,muridae,nesokia,indica,Short-tailed Nesokia,India (uncertain).
5869,rodentia,muridae,rattus,annandalei,Annandales Sundaic Rat,"Malaysia (Malay Peninsula), S Perak, Sungkei."
5950,rodentia,muridae,spelaeomys,florensis,Flores Island Spelaeomys,"Indonesia, Nusa Tenggara, Palau Flores, Manggarai Province, Liang Toge, a cave near Warukia, 1 km S Lepa."
6016,rodentia,muridae,zelotomys,hildegardeae,Hildegardes Zelotomys,"Kenya (Kenya Colony), Machakos."
6032,rodentia,muridae,otomys,burtoni,Burtons Vlei Rat,"Cameroon, Cameroon Mountains, 7000 ft."
6063,rodentia,anomaluridae,idiurus,macrotis,Long-eared Scaly-tailed Flying Squirrel,"Cameroon, ""Efulen, Cameroon district, West Africa""."
6070,rodentia,pedetidae,pedetes,surdaster,East African Spring Hare,"Kenya, Naivasha Prov., Mordat, mile 365 of Uganda Railway."
6078,rodentia,ctenodactylidae,felovia,vae,Felou Gundi,"Senegal, upper Senegal River, Medina District, Felou."
6082,rodentia,ctenodactylidae,pectinator,spekei,Spekes Pectinator,"Somalia (between Goree Bunder and Nogal, ca. 09°N, 47° E)."
6142,rodentia,hystricidae,hystrix,cristata,Crested Porcupine,"""Asia"", restricted to near Rome, Italy by Thomas (1911<i>a</i>:141)."
6190,rodentia,erethizontidae,erethizon,dorsata,North American Porcupine,E Canada (= Quebec Prov.).
6218,rodentia,chinchillidae,lagidium,peruanum,Northern Mountain Viscacha,"Peru Puno Dept., Pisacoma."
6325,rodentia,dasyproctidae,dasyprocta,prymnolopha,Black-rumped Agouti,"Brazil, Pará. Original designation of Guyana was probably an error (Cabrera, 1961:588)."
6363,rodentia,ctenomyidae,ctenomys,azarae,Azaras Tuco-tuco,"Argentina, Central Pampas, 780 km SW Buenos Aires (37<sup>o</sup>45S, 65<sup>o</sup>W). Type location originally given as Sapucay, Paraguay (Thomas, 1903) but corrected to 780 km SW Buenos Aires by Thomas (1903). The type locality corresponds approximately to General Acha, La Pampa Province (Tate, 1935)."
6376,rodentia,ctenomyidae,ctenomys,coyhaiquensis,Coyhaique Tuco-tuco,"Chile, Prov. General Carrera, about 2 km S Chile Chico and 1 km W Chile Chico aerodromo (46<sup>o</sup>33S, 71<sup>o</sup>46W)."
6441,rodentia,ctenomyidae,ctenomys,torquatus,Collared Tuco-tuco,"Brazil, S provinces, and banks of Uruguay River. See Moojen (1952:188)."
6774,lagomorpha,ochotonidae,ochotona,rutila,Turkestan Red Pika,"""...in mountains near Vernyi[Alma-ata]...7000-8000 ft."" [2134-2438 m]. Restricted by Shnitnikov (1936) to valley of Maly Alma-atinsk River, Zailisk Alatau Mtns, Kazakhstan (43E05'N, 77E10'E)."
